section_id,section_code,from_station_code,from_station_name,to_station_code,to_station_name,daily_train_count,criticality_score,last_computed_at
216,CKR_GPB,CKR,CHIKODI ROAD,GPB,GHATPRABHA,1,0.1308,2026-09-01 07:15:16.854274
217,BAQ_PAI,BAQ,GANJ BASODA,PAI,PABAI,2,0.2074,2026-09-01 07:15:16.854274
218,DLJ_BTD,DLJ,DHOLA JN,BTD,BOTAD,8,0.4147,2026-09-01 07:15:16.854274
219,KAG_HNH,KAG,KODAGANUR,HNH,HANUMANAHALL,5,0.3382,2026-09-01 07:15:16.854274
220,BZM_CNB,BZM,BHIMSEN,CNB,KANPUR CENTR,4,0.3038,2026-09-01 07:15:16.854274
221,CDG_KLK,CDG,CHANDIGARH,KLK,KALKA,5,0.3382,2026-09-01 07:15:16.854274
222,NBKH_KWAE,NBKH,NABA GRAM KA,KWAE,KATWA JN.,7,0.3925,2026-09-01 07:15:16.854274
223,SOHL_JHWR,SOHL,SOHAL,JHWR,JHAWAR HALT,6,0.3673,2026-09-01 07:15:16.854274
224,MXW_DRWN,MXW,MAHADEVASAL,DRWN,DEROWAN PH,3,0.2616,2026-09-01 07:15:16.854274
225,KPKI_BAOL,KPKI,QASIMPUR KHE,BAOL,BAWLI HALT,9,0.4346,2026-09-01 07:15:16.854274
226,VZM_NML,VZM,VIZIANAGARAM,NML,NELLIMARLA,4,0.3038,2026-09-01 07:15:16.854274
227,AII_MJ,AII,AJMER JN.,MJ,MARWAR JN.,6,0.3673,2026-09-01 07:15:16.854274
228,ROHA_NIDI,ROHA,ROHA,NIDI,NIDI,3,0.2616,2026-09-01 07:15:16.854274
229,KWR_PAIL,KWR,KOELWAR,PAIL,BLOCK HUT 'C,3,0.2616,2026-09-01 07:15:16.854274
230,JTJ_KPD,JTJ,JOLARPETTAI,KPD,KATPADI JN,64,0.7879,2026-09-01 07:15:16.854274
231,PB_SNSI,PB,PUNTAMBA,SNSI,SAI NAGAR SH,10,0.4526,2026-09-01 07:15:16.854274
